ISO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ASSOC_ACTOR_1,INTER1,ACTOR2,ASSOC_ACTOR_2,INTER2,INTERACTION,REGION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,SOURCE_SCALE,NOTES,FATALITIES,TIMESTAMP
204,BEN163,163,20180118,2018,1,Riots,Violent demonstration,Rioters (Benin),,5,Police Forces of Benin (2016-),,1,15,Western Africa,Benin,Atlantique,Abomey-Calavi,,Glo Djigbe,6.833,2.383,1,Agence Benin Press,National,"Landowners and buyers of plots of Glo Djigbe, disapproving the costs of selling the areas retained by the government in the framework of the construction project of Glo Djigbe airport, blocked the interstate road No 2 crossing the locality. They were dispersed by police forces.",0,1561468964
204,BEN164,164,20180120,2018,2,Strategic developments,Looting/property destruction,Fulani Ethnic Militia (Benin),Pastoralists (Benin),4,Civilians (Benin),,7,47,Western Africa,Benin,Plateau,Pobe,,Igana,7.038,2.693,1,Agence Benin Press,National,"Property destruction: Groups of transhumant herdsmen whose motives are unknown, have disturbed educational activities in the primary schools of the localities of Ihoro, Kpanyikpan, Illamon and Oko-Ilakpo in the municipality of Pobe, Igana district. Transhumant herdsmen make surprise raids in the public primary schools and remove students and teacher using threats of weapons (machetes, daggers).",0,1561468964
204,BEN165,165,20180129,2018,1,Protests,Peaceful protest,Protesters (Benin),Women (Benin),6,,,0,60,Western Africa,Benin,Oueme,Porto-Novo,,Porto-Novo,6.483,2.617,1,Agence Benin Press,National,Women of some civil society associations took the street to ask for the withdrawal of the judicial accusation against M Metognon Laurent.,0,1561468964
204,ALG5127,5127,20180203,2018,1,Violence against civilians,Attack,Fulani Ethnic Militia (Benin),Pastoralists (Benin),4,Civilians (Benin),,7,47,Western Africa,Benin,Plateau,Pobe,,Pobe,6.98,2.665,2,Agence Benin Press,National,Some Fulani herders attacked 3 civilians following a farmers-herders confrontation in Agbele: 2 people were heavily wounded.,0,1561468962
204,BEN166,166,20180211,2018,1,Violence against civilians,Attack,Fulani Ethnic Militia (Benin),Pastoralists (Benin),4,Civilians (Benin),,7,47,Western Africa,Benin,Zou,Agbangnizoun,,Agbangnizoun,7.068,1.974,2,Agence Benin Press,National,A farmer was killed by a group of herders after protesting against the devastation of his field.,1,1561468964
204,BEN167,167,20180211,2018,1,Violence against civilians,Attack,Sahe-Abigo Communal Militia (Benin),,4,Civilians (Benin),Fulani Ethnic Group (Benin),7,47,Western Africa,Benin,Zou,Agbangnizoun,,Agbangnizoun,7.068,1.974,2,Agence Benin Press,National,Sahe-Abigo people killed 4 herders as reprisal to the killing of the farmer.,4,1561468964
204,BEN168,168,20180213,2018,1,Battles,Armed clash,Sahe-Abigo Communal Militia (Benin),,4,Fulani Ethnic Militia (Benin),Pastoralists (Benin),4,44,Western Africa,Benin,Zou,Agbangnizoun,,Agbangnizoun,7.068,1.974,2,Agence Benin Press,National,Farmers-herders clashes continued: 2 herders were killed and one went missing.,2,1561468964
204,BEN169,169,20180214,2018,1,Violence against civilians,Attack,Fulani Ethnic Militia (Benin),Pastoralists (Benin),4,Civilians (Benin),,7,47,Western Africa,Benin,Zou,Agbangnizoun,,Agbangnizoun,7.068,1.974,2,Agence Benin Press,National,"As a reprisal, herders severly wounded three passersby.",0,1561468964
204,BEN170,170,20180217,2018,1,Riots,Violent demonstration,Rioters (Benin),,5,Civilians (International),Aid Workers (International),7,57,Western Africa,Benin,Atacora,Tanguieta,,Tanguieta,10.621,1.266,1,Agence Benin Press,National,Traditional hunters looted the NGO African Parks Network and blocked the road no 3 to protest the seizure of some of their motorcycles.,0,1561468964
204,BEN172,172,20180222,2018,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Oueme,Porto-Novo,,Porto-Novo,6.483,2.617,2,Agence Benin Press,National,Teachers demonstrated to claim the respect of agreements in Oueme Department.,0,1561468964
204,BEN171,171,20180222,2018,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Plateau,Pobe,,Pobe,6.98,2.665,1,Agence Benin Press,National,Teachers demonstrated in Pobe to claim the respect of agreements.,0,1561468964
204,BEN173,173,20180223,2018,1,Protests,Peaceful protest,Protesters (Benin),Students (Benin),6,,,0,60,Western Africa,Benin,Collines,Save,,Save,8.034,2.487,1,Agence Benin Press,National,Students demonstrated to ask for the end of strikes paralysing the education system.,0,1561468964
204,BEN174,174,20180302,2018,2,Violence against civilians,Attack,Fulani Ethnic Militia (Benin),Pastoralists (Benin),4,Civilians (Benin),,7,47,Western Africa,Benin,Plateau,Pobe,,Pobe,6.98,2.665,2,Agence Benin Press,National,Transhumant herders wounded three civilians in Agbele who were taken to the hospital.,0,1561468964
204,BEN175,175,20180309,2018,1,Protests,Protest with intervention,Protesters (Benin),,6,Police Forces of Benin (2016-),,1,16,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,AFP,International,Police on Friday fired teargas to break up an anti-government demonstration by political opposition IN Benin involving thousands of people.,0,1552576704
204,BEN176,176,20180312,2018,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Mono,Lokossa,,Lokossa,6.63,1.72,1,Agence Benin Press,National,"On 12 March, educational workers organised a sit-in to claim the satisfactions of their demands.",0,1561468964
204,BEN178,178,20180425,2018,2,Battles,Armed clash,Fulani Ethnic Militia (Benin),Pastoralists (Benin),4,Igboiganan Communal Militia (Benin),,4,44,Western Africa,Benin,Plateau,Ketou,,Ketou,7.363,2.6,2,Agence Benin Press,National,"On 25 April, two Fulani herdsmen were killed as a clash erupted with local farmers in Igboiganan, Ketou.",2,1552576689
204,BEN179,179,20180426,2018,1,Violence against civilians,Attack,Fulani Ethnic Militia (Benin),Pastoralists (Benin),4,Civilians (Benin),,7,47,Western Africa,Benin,Plateau,Ketou,,Ketou,7.363,2.6,2,Agence Benin Press,National,"On 26 April, Fulani herdmen attacked Igboiganan, Ketou, as a reprisal for the 25 April clashes. 5 civilians were killed.",5,1552576689
204,BEN180,180,20180430,2018,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Atacora,Natitingou,,Natitingou,10.307,1.375,1,Agence Benin Press,National,"On 30 April, townhall workers of Natitingou organised a sit-in to ask for the payment of their salaries.",0,1561468964
204,BEN181,181,20180625,2018,1,Violence against civilians,Attack,Fulani Ethnic Militia (Benin),Pastoralists (Benin),4,Civilians (Benin),,7,47,Western Africa,Benin,Plateau,Pobe,,Igana,7.038,2.693,1,Agence Benin Press,National,"On 25 June, some Fulani herdmen reportedly killed 2 civilians in Igbo-Igana, Idigny, after a cattle theft.",2,1561468964
204,BEN182,182,20180628,2018,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Plateau,Pobe,,Pobe,6.98,2.665,1,Agence Benin Press,National,"On 28 June, workers of a research centre in agriculture held a sit-in in Pobe to ask for better work conditions.",0,1561468964
204,BEN183,183,20180630,2018,1,Violence against civilians,Attack,Tchanwasaga Communal Militia (Benin),,4,Civilians (Benin),Fulani Ethnic Group (Benin),7,47,Western Africa,Benin,Atacora,Tanguieta,,Tanguieta,10.621,1.266,2,Agence Benin Press,National,"On 30 June, Tchanwasaga people raided and looted Fulani camps around Tchanwasaga, Tanguieta, wounding a baby and a women.",0,1561468964
204,BEN184,184,20180707,2018,1,Violence against civilians,Attack,Fulani Ethnic Militia (Benin),Pastoralists (Benin),4,Civilians (Benin),,7,47,Western Africa,Benin,Atacora,Materi,,Tchamonga,10.588,0.813,1,Agence Benin Press,National,"On 7 July, suspected Fulani herders killed a farmer in Tchamonga, Cobly. People from Tchamonga retaliated the same day, killing 5 Fulani herders and 2 other displaced people near Tchamonga and burning down properties. 5000 people were displaced to neighbouring communes.",1,1561468964
204,BEN185,185,20180707,2018,1,Violence against civilians,Attack,Tchamonga Communal Militia (Benin),,4,Civilians (Benin),Fulani Ethnic Group (Benin),7,47,Western Africa,Benin,Atacora,Materi,,Tchamonga,10.588,0.813,2,Agence Benin Press,National,"On 7 July, suspected Fulani herders killed a farmer in Tchamonga, Cobly. People from Tchamonga retaliated the same day, killing 5 Fulani herders and 2 other displaced people near Tchamonga and burning down properties. 5000 people were displaced to neighbouring communes.",7,1561468964
204,BEN186,186,20180808,2018,1,Protests,Peaceful protest,Protesters (Benin),Taxi Drivers (Benin),6,,,0,60,Western Africa,Benin,Zou,Bohicon,,Bohicon,7.178,2.067,1,Agence Benin Press,National,"On 8 August, moto-taxi drivers protested in Bohicon, Zou, against the payment of ""taxi rights"".",0,1561468964
204,BEN187,187,20180825,2018,1,Violence against civilians,Attack,Unidentified Armed Group (Benin),,3,Civilians (Benin),,7,37,Western Africa,Benin,Zou,Bohicon,,Bohicon,7.178,2.067,2,Agence Benin Press,National,"On August 25th, a man was killed in Honmeho, Bohicon municipality. The identity of the attackers is unknown, although local sources indicated that the man was known for thieving, implying that a vigilante group might have been involved.",1,1561468964
204,BEN188,188,20180910,2018,1,Protests,Protest with intervention,Protesters (Benin),,6,Police Forces of Benin (2016-),Government of Benin (2016-),1,16,Western Africa,Benin,Atacora,Toucountouna,,Toucountouna,10.503,1.374,1,Agence Benin Press,National,"On September 10th, protesters gathered at Toucountouna (Atakora), to demand the resignation of the mayor, accusing him of absenteeism since a majority of councillors voted to initiate impeachment proceedings against the mayor in August. The mayor refused to step down, and police blocked the protesters from entering the town hall.",0,1561468964
204,BEN189,189,20181118,2018,1,Riots,Mob violence,Rioters (Benin),,5,Rioters (Benin),,5,55,Western Africa,Benin,Zou,Bohicon,Saclo,Saclo,7.187,2.121,1,Agence Benin Press,National,"On November 18th, a fist fight related to a local political dispute broke out in Saclo (Zou). Three local councillors were injured in the incident.",0,1561468964
204,BEN190,190,20181214,2018,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Atacora,Natitingou,,Natitingou,10.307,1.375,1,Agence Benin Press,National,"14 December. Mayors of Atokara, accompanied by citizens, protested in Natitingou and demanded action against the circulation of alcohol",0,1561468964
204,BEN191,191,20190105,2019,1,Violence against civilians,Abduction/forced disappearance,Pirates (Benin),,3,Civilians (International),Civilians (Russia),7,37,Western Africa,Benin,Oueme,Porto-Novo,,Porto-Novo,6.483,2.617,3,Facebook,Other,"On January 5, off the coast of Benin, pirates took six Russian crewmen as hostages from a cargo ship.",0,1552576415
204,BEN220,220,20190105,2019,1,Riots,Violent demonstration,Rioters (Benin),,5,Police Forces of Benin (2016-),,1,15,Western Africa,Benin,Alibori,Kandi,,Kandi,11.134,2.939,1,Banouto,National,01 May. in Kandi acts of vandalism were recorded that are related to the legislative election held on April 28. Rioters burned down the cotton factory of President Talon.  [size=no report],0,1558991802
204,BEN221,221,20190105,2019,1,Riots,Violent demonstration,Rioters (Benin),,5,Police Forces of Benin (2016-); Military Forces of Benin (2016-),,1,15,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,Banouto,National,01 May. Rioters vandalized in Cotonou to protest the legislative election held on April 28 and the alleged arrest of former President Yayi. Private and Public property were burned or destroyed during the riots. The riots were sparked by rumours that the former President Yayi is to be arrested. Rioters threw stones at Police forces who responded with teargas. [size=no report],0,1558991802
204,BEN192,192,20190109,2019,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Mono,Lokossa,,Lokossa,6.63,1.72,1,La Nouvelle (Benin),National,09 January. Victims of the lCC Services hit the streets of Lokossa and marched peacefully to demand re-imbursements for their losses in the company,0,1561468964
204,BEN193,193,20190109,2019,1,Battles,Armed clash,Hetin-Sota Communal Militia (Benin),Farmers (Benin),4,Agongue Communal Militia (Benin),Farmers (Benin),4,44,Western Africa,Benin,Oueme,Dangbo,,Hetin-Sota,6.586,2.492,1,La Nouvelle (Benin),National,09 January. Farmers of Hetin Sota and Agongue clashed over a ransacked plantage. Four killed and at least seven injured,4,1561468964
204,BEN194,194,20190131,2019,1,Protests,Peaceful protest,Protesters (Benin),Teachers (Benin); Labour Group (Benin),6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,La Nouvelle (Benin),National,31 January. The Union of higher education teachers organized a sit-in at the Ministry of Higher Education and Scientific Research in Cotonou to protest against the appointment of deans of faculties and directors of schools by the government.,0,1561468964
204,BEN195,195,20190205,2019,1,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,3,Civilians (Benin),Fulani Ethnic Group (Benin),7,37,Western Africa,Benin,Plateau,Ketou,,Adakplame,7.454,2.547,1,Agence Benin Press,National,"05 February. A Fulani was shot by unidentified gunmen in Kinwo village, near Adakplame",1,1561468964
204,BEN196,196,20190217,2019,1,Riots,Violent demonstration,Rioters (Benin),,5,,,0,50,Western Africa,Benin,Atacora,Tanguieta,,Tanguieta,10.621,1.266,1,La Nation (Benin),National,17 February. Traditional hunters barricaded a highway in Tanguita with rocks and burning tyres to protest against the ban of motorcycles in parts of the Pendjari Biosphere Reserve,0,1552576398
204,BEN197,197,20190225,2019,1,Protests,Protest with intervention,Protesters (Benin),USL: Social Liberal Union,6,Police Forces of Benin (2016-),,1,16,Western Africa,Benin,Oueme,Seme-Kpodji,,Seme Kpodji,6.367,2.617,1,Banouto,National,25 February. Protesters took the streets in Porto-Novo and Seme-Podji to protest for inclusive election. Police made arrests and dispersed the crowd as protest took place spontanously without permit [size=no report],0,1554749630
204,BEN198,198,20190225,2019,1,Protests,Protest with intervention,Protesters (Benin),USL: Social Liberal Union,6,Police Forces of Benin (2016-),,1,16,Western Africa,Benin,Oueme,Porto-Novo,,Porto-Novo,6.483,2.617,1,Banouto,National,25 February. Protesters hit the streets in Porto-Novo and Seme-Podji to protest for inclusive election. Police made arrests and dispersed the crowd as protest took place spontanously without permit [size=no report],0,1554749630
204,BEN199,199,20190225,2019,1,Riots,Violent demonstration,Rioters (Benin),USL: Social Liberal Union,5,Police Forces of Benin (2016-),,1,15,Western Africa,Benin,Borgou,Tchaourou,,Tchaourou,8.886,2.598,2,Banouto,National,25 February. Rioters barricaded the Cotonou-Parakou highway between Ouesse and Tchaouro with burning tyres and planks to raise awareness for the situation of opposition parties in April 2019 elections. Police cleared the road and re-opened it for traffic [size=no report],0,1554749630
204,BEN200,200,20190225,2019,1,Riots,Violent demonstration,Rioters (Benin),USL: Social Liberal Union,5,Police Forces of Benin (2016-),,1,15,Western Africa,Benin,Atlantique,Allada,,Allada,6.666,2.151,1,La Nouvelle (Benin),National,25 February. Rioters barricaded an interstate in Allada and Tori to protest for inclusive elections in April 2019. Police dispersed the crowd with the use of force [size=no report],0,1561468964
204,BEN201,201,20190225,2019,1,Riots,Violent demonstration,Rioters (Benin),USL: Social Liberal Union,5,Police Forces of Benin (2016-),,1,15,Western Africa,Benin,Atlantique,Tori-Bossito,,Tori-Bossito,6.503,2.144,1,La Nouvelle (Benin),National,25 February. Rioters barricaded an interstate in Allada and Tori to call for inclusive elections in April 2019. Police dispersed the crowd with the use of force [size=no report],0,1561468964
204,BEN202,202,20190226,2019,1,Riots,Mob violence,Rioters (Benin),USL: Social Liberal Union,5,Police Forces of Benin (2016-),,1,15,Western Africa,Benin,Collines,Ouesse,,Kilibo,8.576,2.6,1,Agence Benin Press; Banouto,National,26 February. Police and rioters clashed in Kilibo. Rioters demanded the participation of opposition parties in the legislative election in April and blocked the road. Police dispersed the crowd with teargas. 10 security forces and three rioters injured. One rioter killed [size=no report],1,1561468964
204,BEN203,203,20190311,2019,1,Protests,Peaceful protest,Protesters (Benin),FCBE: Cowry Forces for an Emerging Benin; USL: Social Liberal Union; PRB: Renaissance Party of Benin; RE: Restore the Hope; PLP: Party for the Liberation of the People; PCB: Communist Party of Benin,6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,AFP; La Nouvelle (Benin),National-International,11 March. Opposition parties in Cotonou protested their exclusion in the upcoming legislative election [size=20000],0,1561468964
204,BEN204,204,20190315,2019,1,Riots,Violent demonstration,Rioters (Benin),Prisoners (Benin),5,,,0,50,Western Africa,Benin,Oueme,Akpro-Misserete,,Misserete,6.559,2.591,1,Banouto,National,15 March. Detainees in Akpro-Misserete Civil Prison in Porto Novo vandalized and burnt rooms in the facilitiy to protest new regulations imposed by the prison administration [size=no report],0,1553544834
204,BEN206,206,20190404,2019,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Couffo,Aplahoue,,Azove,6.947,1.702,1,AFP; La Nouvelle (Benin),National-International,"04 April. Protesters in Dogbo, Azove, Toviklin, Djakotomey, Lalo and Cotonou demanded fair and inclusive legislative elections. Protest in Cotonou was dispersed by Police forces [size=hundreds in total]",0,1561468964
204,BEN207,207,20190404,2019,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Couffo,Toviklin,,Toviklin,6.889,1.837,1,AFP; La Nouvelle (Benin),National-International,"04 April. Protesters in Dogbo, Azove, Toviklin, Djakotomey, Lalo and Cotonou demanded fair and inclusive legislative elections. Protest in Cotonou was dispersed by Police forces [size=hundreds in total]",0,1561468964
204,BEN205,205,20190404,2019,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Couffo,Dogbo,,Dogbo,6.799,1.781,1,AFP; La Nouvelle (Benin),National-International,"04 April. Protesters in Dogbo, Azove, Toviklin, Djakotomey, Lalo and Cotonou demanded fair and inclusive legislative elections. Protest in Cotonou was dispersed by Police forces [size=hundreds in total]",0,1561468964
204,BEN208,208,20190404,2019,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Couffo,Djakotomey,,Djakotomey,6.898,1.692,1,AFP; La Nouvelle (Benin),National-International,"04 April. Protesters in Dogbo, Azove, Toviklin, Djakotomey, Lalo and Cotonou demanded fair and inclusive legislative elections. Protest in Cotonou was dispersed by Police forces [size=hundreds in total]",0,1561468964
204,BEN209,209,20190404,2019,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Couffo,Lalo,,Lalo,6.929,1.89,1,AFP; La Nouvelle (Benin),National-International,"04 April. Protesters in Dogbo, Azove, Toviklin, Djakotomey, Lalo and Cotonou demanded fair and inclusive legislative elections. Protest in Cotonou was dispersed by Police forces [size=hundreds in total]",0,1561468964
204,BEN210,210,20190404,2019,1,Protests,Protest with intervention,Protesters (Benin),,6,Police Forces of Benin (2016-),,1,16,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,AFP; La Nouvelle (Benin),National-International,"04 April. Protesters in Dogbo, Azove, Toviklin, Djakotomey, Lalo and Cotonou demanded fair and inclusive legislative elections. Protest in Cotonou was dispersed by Police forces [size=hundreds in total]",0,1561468964
204,BEN211,211,20190423,2019,1,Protests,Protest with intervention,Protesters (Benin),PRD: Democratic Renewal Party; Women (Benin),6,Police Forces of Benin (2016-),,1,16,Western Africa,Benin,Oueme,Porto-Novo,,Porto-Novo,6.483,2.617,1,Benin 24,National,23 April. Market women protested in Porto-Novo and demanded the participation of the PRD in the upcoming elections. Police forces intervened and stopped the protest. [size=no report],0,1559160524
204,BEN212,212,20190427,2019,1,Riots,Violent demonstration,Rioters (Benin),,5,Police Forces of Benin (2016-),,1,15,Western Africa,Benin,Collines,Save,,Save,8.034,2.487,1,Benin 24,National,27 April. Rioters blocked a road in Save to protest the legislative election. Police called for reinforcements to control the situation. Injuries on both sides were reported. [size=no report],0,1556572282
204,BEN213,213,20190427,2019,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Benin),,3,Civilians (Benin),CENA: Autonomous National Electoral Commission,7,37,Western Africa,Benin,Borgou,Tchaourou,,Alafiarou,9.903,3.416,1,Benin 24,National,27 April. Unknown actors destroyed election materials of the Autonomous National Electoral Commission (CENA) in Alafiarou ahead of the legislative elections.,0,1556572282
204,BEN214,214,20190427,2019,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Benin),,3,Civilians (Benin),CENA: Autonomous National Electoral Commission,7,37,Western Africa,Benin,Oueme,Adjohoun,,Akpotonou,6.764,2.481,1,Benin 24,National,27 April. Unknown actors destroyed election materials of the Autonomous National Electoral Commission (CENA) in Akpadanou ahead of the legislative elections.,0,1556572282
204,BEN215,215,20190427,2019,1,Riots,Violent demonstration,Rioters (Benin),,5,Police Forces of Benin (2016-),,1,15,Western Africa,Benin,Borgou,Tchaourou,,Tchaourou,8.886,2.598,1,Benin 24,National,27 April. Rioters blocked a road in Tchaourou and burned down a police vehicle. Police forces later controlled the crowd. [size=no report],0,1556572282
204,BEN216,216,20190428,2019,1,Riots,Mob violence,Rioters (Benin),,5,Rioters (Benin),,5,55,Western Africa,Benin,Borgou,Parakou,,Parakou,9.35,2.617,1,Banouto,National,28 April. Violence erupted between rivaling party militias in Parakou leading to one death. [size=no report],1,1557247985
204,BEN217,217,20190428,2019,1,Riots,Violent demonstration,Rioters (Benin),,5,Civilians (Benin),Journalists (Benin),7,57,Western Africa,Benin,Borgou,Tchaourou,,Tchaourou,8.886,2.598,1,Banouto,National,28 April. Rioters that protested the exclusion of opposition parties in the legislative elections attacked a vehicle of the national television. One person sustained injuries.,0,1557247985
204,BEN218,218,20190428,2019,1,Riots,Violent demonstration,Rioters (Benin),,5,Police Forces of Benin (2016-),,1,15,Western Africa,Benin,Collines,Bante,,Bante,8.413,1.892,1,Banouto,National,28 April. Protesters against the elections and Police forces clashed in Bante. One person killed. [size=no report],1,1557247985
204,BEN219,219,20190428,2019,1,Riots,Violent demonstration,Rioters (Benin),,5,Police Forces of Benin (2016-),,1,15,Western Africa,Benin,Collines,Save,,Save,8.034,2.487,1,Banouto,National,28 April. Rioters protesting the exclusion of opposition parties burned police vehicles in Save and clashed with Police forces. [size=no report],0,1557247985
204,BEN223,223,20190501,2019,1,Violence against civilians,Attack,Unidentified Armed Group (Benin),,3,Civilians (Benin),,7,37,Western Africa,Benin,Atacora,Kerou,,Pendjari National Park,11.05,1.517,1,Reuters,International,01 May. An unidentified armed group killed a park ranger in Pendjari NP and abducted two french tourists. The tourists were later brought to Burkina Faso and rescued by French military.,1,1558389800
204,BEN222,222,20190502,2019,1,Riots,Violent demonstration,Rioters (Benin),,5,Police Forces of Benin (2016-); Military Forces of Benin (2016-),,1,15,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,AFP; Banouto,National-International,02 May. Riots in the Cotonou neighbourhood of former President Yayi resumed. Roads leading to his residency were barricaded with burning tyres. Military forces used teargas and fired gunshots to calm the situation and disperse the crowd. Three people killed. [size=hundreds],3,1561468964
204,BEN224,224,20190503,2019,1,Battles,Armed clash,Unidentified Armed Group (Benin),,3,Police Forces of Benin (2016-),,1,13,Western Africa,Benin,Atacora,Kerou,,Kerou,10.826,2.105,1,Banouto; Benin 24,National,03 May. A group of youth fired into the crowd at the enthronement ceremony of a local chiefin Kerou. Police forces responded with gunshots. Six people were killed.,6,1561468964
204,BEN225,225,20190531,2019,2,Battles,Armed clash,Fulani Ethnic Militia (Benin),,4,Unidentified Ethnic Militia (Benin),Farmers (Benin),4,44,Western Africa,Benin,Collines,Dassa Zoume,,Akofodjoule,7.694,2.267,1,La Nouvelle (Benin),National,31 May (or around). A local farmer and a pastoralist got engaged in a an argument over land in Akofofjoule that resulted in the death of the pastoralist.,1,1561468964
204,BEN226,226,20190602,2019,2,Violence against civilians,Attack,Fulani Ethnic Militia (Benin),Pastoralists (Benin),4,Civilians (Benin),,7,47,Western Africa,Benin,Collines,Dassa Zoume,,Akofodjoule,7.694,2.267,1,La Nouvelle (Benin),National,02 June (or around). Fulani militias attacked Akofofjoule in Dassa-Zoume and killed four residents as reprisal to the death of a pastoralist a few days earlier.,4,1561468964
204,BEN227,227,20190610,2019,1,Riots,Violent demonstration,Rioters (Benin),,5,,,0,50,Western Africa,Benin,Borgou,Tchaourou,,Tchaourou,8.886,2.598,1,Banouto,National,10 June. Residents of Tchaourou barricaded a main road in the town to protest the arrest of suspected leaders of the riots during the legislative election end of April. Tires were burnt and a police station invaded. [size=no report],0,1560806716
204,BEN228,228,20190611,2019,1,Riots,Violent demonstration,Rioters (Benin),,5,Police Forces of Benin (2016-),,1,15,Western Africa,Benin,Borgou,Tchaourou,,Tchaourou,8.886,2.598,1,Banouto,National,11 June. Violent demonstrations. in Tchaourou resumed on Tuesday with police using live ammunition and teargas to removed the barricade on the road and disperse the crowd. Two people were injured. [size=no report],0,1560806716
204,BEN229,229,20190612,2019,1,Riots,Violent demonstration,Rioters (Benin),,5,Police Forces of Benin (2016-),,1,15,Western Africa,Benin,Borgou,Tchaourou,,Tchaourou,8.886,2.598,1,Banouto,National,12 June. Violent demonstrations in Tchaourou resumed on Wednesday with police using live ammunition and teargas to disperse the crowd. Two people were injured. [size=no report],0,1560806716
204,BEN230,230,20190613,2019,1,Battles,Armed clash,Tchaourou Communal Militia (Benin),,4,Police Forces of Benin (2016-),,1,14,Western Africa,Benin,Borgou,Tchaourou,,Tchaourou,8.886,2.598,1,Banouto; Benin 24,National,13 June. Demonstrators in Tchaourou were reinforced by hunters from surrounding villages that engaged police forces in a gun battle. Security forces overpowered the groups and cleared barricaded roads . [size=no report],0,1560806716
204,BEN231,231,20190613,2019,1,Battles,Armed clash,Save Communal Militia (Benin),,4,Military Forces of Benin (2016-),,1,14,Western Africa,Benin,Collines,Save,,Save,8.034,2.487,1,Benin 24,National,"13 June. Following demonstrations in Tchaourou, residents of Save barricaded a road to prevent a military convoy from accessing Tchaourou. This resulted in a gun battle between Save residents and military forces, resulting in one fatality and several injuries.",1,1560806716
204,BEN232,232,20190614,2019,1,Riots,Violent demonstration,Rioters (Benin),,5,,,0,50,Western Africa,Benin,Borgou,Tchaourou,,Tchaourou,8.886,2.598,1,Banouto,National,14 June. Violent demonstrations continued in Tchaourou with new barricades erected by demonstrators. Gunshots were heard from the scene but there were no reports of an armed clash. [size=no report],0,1560806716
204,BEN233,233,20190615,2019,1,Riots,Violent demonstration,Rioters (Benin),,5,Police Forces of Benin (2016-),,1,15,Western Africa,Benin,Borgou,Tchaourou,,Tchaourou,8.886,2.598,1,Benin 24; Vanguard (Nigeria),National-International,"15 June. Security forces cleared barricaded roads in Tchaourou and used ammunition to disperse demonstrators. Two demonstrators were killed, 50 people wounded including 10 security forces. [size=no report]",2,1560806716
