ISO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ASSOC_ACTOR_1,INTER1,ACTOR2,ASSOC_ACTOR_2,INTER2,INTERACTION,REGION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,SOURCE_SCALE,NOTES,FATALITIES,TIMESTAMP
204,BEN91,91,20150426,2015,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Donga,Djougou,,Dangoussar,9.679,1.549,1,PANAPRESS,Regional,"The population of Dangoussar boycotted the general election to protest lack of electricity, preventing some from Barei village from voting as well.",0,1561468964
204,BEN92,92,20150427,2015,1,Violence against civilians,Attack,Barei Communal Militia (Benin),,4,Civilians (Benin),,7,47,Western Africa,Benin,Donga,Djougou,,Dangoussar,9.679,1.549,1,PANAPRESS,Regional,An armed group from Barei attacked Dangoussar village in retaliation for preventing them from voting on Sunday. Two were killed and several injured.,2,1561468964
204,BEN93,93,20150504,2015,1,Riots,Violent demonstration,Rioters (Benin),,5,Police Forces of Benin (2006-2016),,1,15,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,AFP; Xinhua,International,"After several police officers were seen outside the home of opposition leader Candide Azannai, several hundred young people stormed the streets, barricading the road towards Lome by setting fires and preventing his arrest.",0,1561468964
204,BEN94,94,20150506,2015,1,Riots,Violent demonstration,Rioters (Benin),,5,Police Forces of Benin (2006-2016),,1,15,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,AFP; Xinhua,International,"Several hundred opposition protesters marched in the capital, throwing stones at the police who used tear gas against them.",0,1561468964
204,BEN97,97,20160106,2016,1,Battles,Armed clash,Military Forces of Benin (2006-2016),,1,Military Forces of Benin (2006-2016),Police Forces of Benin (2006-2016),1,11,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,RFI,International,Benin military shot and killed a soldier who was resisting arrest regarding recent UN soldier protests in Ivory Coast. A policeman nearby was also injured.,1,1561468964
204,BEN98,98,20160315,2016,3,Protests,Excessive force against protesters,Police Forces of Benin (2016-),,1,Protesters (Benin),,6,16,Western Africa,Benin,Collines,Bante,,Bante,8.413,1.892,1,Amnesty International,Other,"Security forces fired teargas and live ammunition at demonstrators in Bante (Collines department), leaving one person shot and killed and nine others injured.",1,1552577217
204,BEN99,99,20160414,2016,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,Xinhua,International,Thousands held a sit-in in front of the Presidential Palace to demand public sector jobs.,0,1561468964
204,BEN100,100,20160524,2016,1,Battles,Armed clash,Fulani Ethnic Militia (Benin),Police Forces of Benin (2016-),4,Koka Communal Militia (Benin),,4,44,Western Africa,Benin,Alibori,Malanville,,Malanville,11.868,3.383,2,Xinhua,International,Three dead and two injured in clashes between farmers and herders. Security forces restored calm.,3,1561468964
204,BEN101,101,20160611,2016,1,Strategic developments,Change to group/activity,Police Forces of Benin (2016-),,1,,,0,10,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,3,Reuters,International,"Security measures: Security forces increased patrols and set up road blocks ""in the face of a threat from Islamist militants.""",0,1552577200
204,BEN102,102,20160628,2016,2,Protests,Peaceful protest,Protesters (Benin),Students (Benin),6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,Xinhua,International,"At the end of June, students held a boycott at the University of Abomey Calavi to protest academic year structures. In late July, 21 of the organizers were expelled from the school for leading the boycott and for ""incitement to violence.""",0,1561468964
204,BEN103,103,20160706,2016,1,Battles,Armed clash,Fulani Ethnic Militia (Benin),Pastoralists (Benin),4,Soumbe Gorou Communal Militia (Benin),Sakawan Tedji Communal Militia (Benin),4,44,Western Africa,Benin,Alibori,Malanville,,Guene,11.808,3.228,1,Xinhua,International,"A farmer and six shepherds died in a clash between Fulani herders and farmers in Guene, in Malanville district. The clash has erupted when, in revenge of a farmer murder alleged carried by a Fulani shepherd, people from villages Soumbe Gorou and Sakawan Tedji have attacked a Fulani settlement, one that would house the presumed perpetrator.",7,1561468964
204,BEN104,104,20160709,2016,1,Riots,Violent demonstration,Rioters (Benin),,5,Police Forces of Benin (2016-),,1,15,Western Africa,Benin,Borgou,Parakou,,Parakou,9.35,2.617,1,Xinhua,International,"An unauthorized spontaneus demonstration occurred in Parakou, led by winners of the competitive examinations for the Ministry of Finance and Economy in protesting against the gov decision of cancelling the results of the flawed competition. The protesters have erected barricades while the police has tried to break up the demonstration with tear gas.",0,1561468964
204,BEN105,105,20160715,2016,3,Protests,Excessive force against protesters,Police Forces of Benin (2016-),,1,Protesters (Benin),Students (Benin),6,16,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,Amnesty International,Other,"Security forces used tear gas and batons to disperse a peaceful demonstration by students in Cotonou in July, injuring at least 20 people. At least nine students were arrested following the demonstrations and detained for several weeks before being released. 21 students presumed to have participated were banned from registering at the university for five years. In August, the university decided to invalidate the academic year for all the students in the faculty where most demonstrators were studying. In October, the Council of Ministers banned all activities by student associations on campuses.",0,1552577193
